iso2c,country,year,fertility.rate,life.expectancy,population,GDP.per.capita.Current.USD,15.to.25.yr.female.literacy,iso3c,region,capital,longitude,latitude,income,lending
AD,Andorra,1960,,,13414,,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,1961,,,14376,,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,1962,,,15376,,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,1963,,,16410,,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,1964,,,17470,,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,1965,,,18551,,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,1966,,,19646,,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,1967,,,20755,,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,1968,,,21888,,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,1969,,,23061,,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,1970,,,24279,3238.08930857635,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,1971,,,25560,3497.91312652628,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,1972,,,26892,4217.40041168169,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,1973,,,28231,5343.12277676194,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,1974,,,29514,6320.97187804694,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,1975,,,30706,7168.39870956809,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,1976,,,31781,7151.57376813729,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,1977,,,32769,7751.169371822,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,1978,,,33746,9127.61169904434,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,1979,,,34819,11819.6457899758,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,1980,,,36063,12377.7138585391,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,1981,,,37502,10372.3271798169,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,1982,,,39112,9611.23805783753,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,1983,,,40862,8023.34562682223,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,1984,,,42704,7729.32336402426,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,1985,,,44597,7775.02750730729,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,1986,,,46515,10362.1677498842,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,1987,,,48458,12615.0521783631,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,1988,,,50431,14305.2096423903,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,1989,,,52449,15166.912581061,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,1990,,,54511,18876.7301903679,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,1991,,,56674,19530.8420614121,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,1992,,,58904,20541.7731272609,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,1993,,,61003,16508.8749149607,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,1994,,,62707,16226.9701802536,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,1995,,,63854,18460.0066061368,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,1996,,,64274,19043.8352940747,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,1997,,,64090,18421.6888284091,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,1998,,,63799,18996.441222614,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,1999,,,64084,19347.1110672469,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,2000,,,65399,17334.2756700025,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,2001,,,68000,18599.4153888345,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,2002,,,71639,20326.9001004177,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,2003,,,75643,25355.2671797143,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,2004,,,79060,29372.1667374519,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,2005,,,81223,31268.9667449795,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,2006,1.24,,81877,34484.7008637747,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,2007,1.18,,81292,39922.8901210414,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,2008,1.25,,79969,46418.4154673278,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,2009,1.19,,78659,,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,2010,1.22,,77907,,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,2011,,,77865,,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AD,Andorra,2012,,,78360,,,AND,Europe & Central Asia (all income levels),Andorra la Vella,1.5218,42.5075,High income: nonOECD,Not classified
AE,United Arab Emirates,1960,6.928,51.6086829268293,89608,,,ARE,Middle East & North Africa (all income levels),Abu Dhabi,54.3705,24.4764,High income: nonOECD,Not classified
AE,United Arab Emirates,1961,6.91,52.6601463414634,97727,,,ARE,Middle East & North Africa (all income levels),Abu Dhabi,54.3705,24.4764,High income: nonOECD,Not classified
AE,United Arab Emirates,1962,6.893,53.7608292682927,108774,,,ARE,Middle East & North Africa (all income levels),Abu Dhabi,54.3705,24.4764,High income: nonOECD,Not classified
AE,United Arab Emirates,1963,6.877,54.9011951219512,121574,,,ARE,Middle East & North Africa (all income levels),Abu Dhabi,54.3705,24.4764,High income: nonOECD,Not classified
AE,United Arab Emirates,1964,6.861,56.066243902439,134411,,,ARE,Middle East & North Africa (all income levels),Abu Dhabi,54.3705,24.4764,High income: nonOECD,Not classified
AE,United Arab Emirates,1965,6.841,57.2364146341463,146341,,,ARE,Middle East & North Africa (all income levels),Abu Dhabi,54.3705,24.4764,High income: nonOECD,Not classified
AE,United Arab Emirates,1966,6.816,58.3916585365854,156890,,,ARE,Middle East & North Africa (all income levels),Abu Dhabi,54.3705,24.4764,High income: nonOECD,Not classified
AE,United Arab Emirates,1967,6.783,59.5129268292683,167360,,,ARE,Middle East & North Africa (all income levels),Abu Dhabi,54.3705,24.4764,High income: nonOECD,Not classified
AE,United Arab Emirates,1968,6.738,60.5826829268293,180762,,,ARE,Middle East & North Africa (all income levels),Abu Dhabi,54.3705,24.4764,High income: nonOECD,Not classified
AE,United Arab Emirates,1969,6.679,61.5878780487805,201157,,,ARE,Middle East & North Africa (all income levels),Abu Dhabi,54.3705,24.4764,High income: nonOECD,Not classified
AE,United Arab Emirates,1970,6.605,62.5194878048781,231529,,,ARE,Middle East & North Africa (all income levels),Abu Dhabi,54.3705,24.4764,High income: nonOECD,Not classified
AE,United Arab Emirates,1971,6.512,63.373,272211,,,ARE,Middle East & North Africa (all income levels),Abu Dhabi,54.3705,24.4764,High income: nonOECD,Not classified
AE,United Arab Emirates,1972,6.402,64.1599512195122,322439,,,ARE,Middle East & North Africa (all income levels),Abu Dhabi,54.3705,24.4764,High income: nonOECD,Not classified
AE,United Arab Emirates,1973,6.279,64.8883170731707,382599,,,ARE,Middle East & North Africa (all income levels),Abu Dhabi,54.3705,24.4764,High income: nonOECD,Not classified
AE,United Arab Emirates,1974,6.146,65.5626341463415,452848,,,ARE,Middle East & North Africa (all income levels),Abu Dhabi,54.3705,24.4764,High income: nonOECD,Not classified
